dataset|model|accuracy|auc|f1
adult|dt|0.842586734641647|0.7307772297360415|0.9012824874553119
adult|knn|0.7937061720053643|0.5811695428711443|0.8794516281183985
adult|lr|0.7969738849134445|0.6155360621368028|0.8783268316122804
adult|rf|0.8701104593429766|0.8024420685077623|0.9160105816305152
bank|dt|0.8976591242544217|0.6599912349722281|0.4410955776184037
bank|knn|0.8857387214026083|0.5960083792878688|0.28893520307165443
bank|lr|0.8879726910117741|0.589651752599677|0.2940201467824258
bank|rf|0.911295923558426|0.7014415167621862|0.5292165617376664
covertype|dt|0.9720460162612821|0.7157839924396486|0.4950844768726669
covertype|knn|0.973013523530208|0.7039614060577883|0.44213062910249296
covertype|lr|0.9640421655089167|0.5344377984785101|0.111494523849969
covertype|rf|0.9817262523550863|0.7776771976694804|0.6819420670936044
letter|dt|0.7559233333333332|0.7554984712782994|0.7726514982630083
letter|knn|0.9634199999999999|0.963419883115792|0.963629906745131
letter|lr|0.72839|0.7285092063314279|0.7241041362843802
letter|rf|0.9526966666666667|0.952705664070573|0.9528936005480937
